N ,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실 
188,DGB금융지주,"6,960",100,+1.46%,"5,000","11,773","169,146",47.10,"834,507",3.55,7.31,
189,더블유게임즈,"62,300",300,+0.48%,500,"11,447","18,375",14.02,"70,370",10.68,18.93,
190,롯데관광개발,"16,500",300,+1.85%,500,"11,430","69,276",4.44,"439,102",-24.23,-4.77,
191,JB금융지주,"5,770",60,+1.05%,"5,000","11,366","196,983",39.64,"465,342",3.29,10.36,
192,아시아나항공,"15,200",500,+3.40%,"5,000","11,311","74,412",20.07,"1,224,882",-1.31,-90.67,
193,태광산업,"1,009,000","10,000",+1.00%,"5,000","11,234","1,113",7.74,"1,585",10.83,4.34,
194,솔루엠,"25,850","1,000",+4.02%,500,"10,988","42,508",0.22,"6,360,715",25.52,86.98,
195,후성,"11,850",100,-0.84%,500,"10,974","92,607",4.68,"759,351",-215.45,3.85,
196,코스맥스,"109,000","2,500",+2.35%,500,"10,954","10,050",23.99,"148,257",26.98,10.45,
197,KG동부제철,"10,800",100,-0.92%,"5,000","10,801","100,009",0.12,"112,505",13.11,-7.44,
198,티와이홀딩스,"26,700","1,000",-3.61%,500,"10,726","40,172",6.94,"255,011",N/A,N/A,
199,KODEX 코스닥150 레버리지,"15,670",230,-1.45%,0,"10,546","67,300",3.26,"7,977,984",N/A,N/A,
200,대한전선,"1,220",10,-0.81%,500,"10,449","856,473",1.93,"9,233,757",-67.78,-3.99,
